Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-08-07	00:00	39958	40500	40400	70	0	944	42963	1541	0	5704	-2	917	-12167	17	-3263	-1200	-1141	-2600	-4152	0	70	0	0	267	679	0	3172	1324	1208	364	249	304	-13	1	1430	112	ND	
France	Données temps réel	2025-08-07	00:15	39744	39650	39400	70	0	924	42949	1513	0	5990	0	915	-12622	17	-3263	-1200	-1588	-2600	-3965	0	70	0	0	259	666	0	3191	1492	1307	362	249	304	-2	7	1412	101	ND	
France	Données temps réel	2025-08-07	00:30	38261	38800	38400	71	0	779	42510	1505	0	5965	-3	917	-13478	16	-3263	-1200	-1903	-2600	-4476	1	70	0	0	260	520	0	3095	1347	1522	363	250	304	-5	1	1421	83	ND	
France	Données temps réel	2025-08-07	00:45	36870	37850	37400	71	0	725	42173	1530	0	5496	-2	918	-14034	16	-3263	-1200	-2147	-2600	-4506	1	70	0	0	260	466	0	3059	1103	1333	363	251	304	-6	0	1451	79	ND	
France	Données temps réel	2025-08-07	01:00	36380	36900	36400	71	0	420	42066	1522	0	5408	0	916	-14016	14	-3759	-1200	-2102	-2600	-4587	1	70	0	0	260	162	0	3066	1022	1320	363	249	304	-6	0	1452	69	ND	
France	Données temps réel	2025-08-07	01:15	36435	36900	36700	71	0	432	42299	1500	0	5903	0	917	-14692	13	-3759	-1200	-2147	-2600	-4593	1	70	0	0	265	167	0	3025	1089	1789	364	249	304	-2	8	1431	69	ND	
France	Données temps réel	2025-08-07	01:30	35792	36900	37000	71	0	462	41952	1488	0	5670	-1	912	-14753	14	-3759	-1200	-2147	-2600	-4594	1	70	0	0	265	198	0	2982	938	1750	364	244	304	-9	0	1435	53	ND	
France	Données temps réel	2025-08-07	01:45	35677	36550	36400	71	0	477	41963	1443	0	5466	-1	906	-14644	14	-3759	-1200	-2147	-2600	-4595	1	70	0	0	265	212	0	2958	921	1586	362	240	304	-2	0	1397	46	ND	
France	Données temps réel	2025-08-07	02:00	35187	36200	35800	71	0	426	41990	1423	0	4864	-14	903	-14476	14	-3679	-1200	-2125	-2600	-4508	1	70	0	0	266	161	0	2930	938	997	363	236	304	-2	1	1360	63	ND	
France	Données temps réel	2025-08-07	02:15	35402	35500	35300	71	0	450	42118	1403	0	4559	-63	902	-14048	14	-3679	-1200	-2145	-2600	-4508	1	70	0	0	266	185	0	2891	1020	648	364	234	304	-5	15	1338	64	ND	
France	Données temps réel	2025-08-07	02:30	34495	34800	34800	71	0	463	41896	1366	0	4275	-63	902	-14410	14	-3679	-1200	-2147	-2600	-4509	1	70	0	0	266	198	0	2883	937	455	364	234	304	-5	0	1318	48	ND	
France	Données temps réel	2025-08-07	02:45	34045	34350	34250	69	0	459	41760	1292	0	3875	-63	900	-14238	14	-3679	-1200	-2147	-2600	-4517	0	70	0	0	266	195	0	2823	854	198	363	233	304	-9	0	1252	40	ND	
France	Données temps réel	2025-08-07	03:00	33486	33900	33700	71	0	467	41477	1311	0	3717	-485	908	-13979	15	-2734	-1200	-2057	-2600	-4573	1	70	0	0	266	203	0	2787	779	151	369	235	304	-2	0	1274	38	ND	
France	Données temps réel	2025-08-07	03:15	33354	33600	33400	71	0	464	40985	1300	0	3600	-670	904	-13288	15	-2734	-1200	-2066	-2600	-4572	1	70	0	0	266	199	0	2749	664	187	366	234	304	-12	0	1263	37	ND	
France	Données temps réel	2025-08-07	03:30	32878	33300	33100	71	0	467	41079	1273	0	3483	-1010	905	-13381	15	-2734	-1200	-2066	-2600	-4571	1	70	0	0	266	202	0	2752	639	92	366	235	304	-8	0	1243	30	ND	
France	Données temps réel	2025-08-07	03:45	32641	33050	32850	71	0	458	41002	1234	0	3483	-1203	903	-13295	15	-2734	-1200	-2066	-2600	-4573	1	70	0	0	266	194	0	2748	640	95	364	235	304	-11	0	1212	22	ND	
France	Données temps réel	2025-08-07	04:00	32430	32800	32600	71	0	463	40793	1220	0	3400	-1204	906	-13208	15	-2445	-1200	-2066	-2600	-4269	1	70	0	0	266	198	0	2745	641	14	366	236	304	-10	0	1206	14	ND	
France	Données temps réel	2025-08-07	04:15	32297	32650	32500	70	0	460	40333	1207	0	3270	-1396	912	-12549	15	-2445	-1200	-2066	-2600	-4264	0	70	0	0	266	195	0	2728	526	16	373	235	304	-10	0	1202	6	ND	
France	Données temps réel	2025-08-07	04:30	32208	32500	32400	69	0	461	40328	1205	0	3240	-1398	917	-12605	15	-2445	-1200	-2066	-2600	-4266	0	70	0	0	267	195	0	2720	506	14	378	235	304	-9	0	1203	2	ND	
France	Données temps réel	2025-08-07	04:45	32155	32500	32500	69	0	463	40286	1208	0	3224	-1397	919	-12604	15	-2445	-1200	-2066	-2600	-4265	0	70	0	0	267	197	0	2711	496	16	380	234	304	-12	0	1209	0	ND	
France	Données temps réel	2025-08-07	05:00	32430	32500	32600	70	0	467	40269	1246	0	3303	-1398	919	-12433	15	-2365	-1200	-2066	-2600	-4060	0	70	0	0	267	201	0	2706	496	102	380	235	304	-13	0	1251	0	ND	
France	Données temps réel	2025-08-07	05:15	32758	32950	33000	70	0	447	40717	1276	0	3274	-1395	925	-12552	15	-2365	-1200	-2066	-2600	-4059	0	70	0	0	267	181	0	2667	504	103	382	238	304	-3	0	1286	0	ND	
France	Données temps réel	2025-08-07	05:30	33112	33400	33400	69	0	466	40745	1312	0	3374	-1393	920	-12378	15	-2365	-1200	-2066	-2600	-4064	0	70	0	0	267	200	0	2674	503	197	383	233	304	-3	0	1323	0	ND	
France	Données temps réel	2025-08-07	05:45	33436	33750	33850	71	0	465	40907	1354	0	3286	-867	919	-12699	15	-2365	-1200	-2066	-2600	-4110	1	70	0	0	267	199	0	2685	506	95	381	234	304	-3	3	1364	0	ND	
France	Données temps réel	2025-08-07	06:00	34302	34100	34300	71	0	462	41105	1389	242	3340	-881	917	-12341	15	-1839	-1200	-2066	-2600	-5728	1	70	0	0	266	197	0	2689	533	118	381	232	304	-1	0	1397	0	ND	
France	Données temps réel	2025-08-07	06:15	35051	34800	34750	71	0	409	41306	1386	285	4103	-69	915	-13347	14	-1839	-1200	-2066	-2600	-5733	1	70	0	0	267	144	0	2711	637	754	378	233	304	-7	1	1392	0	ND	
France	Données temps réel	2025-08-07	06:30	35247	35500	35200	71	0	445	41351	1381	333	4113	-70	919	-13291	14	-1839	-1200	-2066	-2600	-5695	1	70	0	0	267	179	0	2712	646	755	380	235	304	-5	0	1384	0	ND	
France	Données temps réel	2025-08-07	06:45	35648	35900	35600	70	0	463	41535	1403	396	4246	-96	917	-13279	14	-1839	-1200	-2066	-2600	-5589	0	70	0	0	267	197	0	2695	803	748	377	236	304	-8	0	1406	0	ND	
France	Données temps réel	2025-08-07	07:00	36027	36300	36000	71	0	465	41843	1379	445	4331	-102	916	-13325	14	-3828	-1200	-2105	-2227	-3868	1	70	0	0	267	199	0	2738	833	760	378	234	304	-1	5	1380	0	ND	
France	Données temps réel	2025-08-07	07:15	36746	37150	36750	71	0	460	41873	1382	818	4841	-51	915	-13559	14	-3828	-1200	-2105	-2227	-3868	1	70	0	0	266	195	0	2781	879	1181	379	232	304	-5	0	1378	4	ND	
France	Données temps réel	2025-08-07	07:30	37613	38000	37500	70	0	465	41799	1411	1246	5172	0	916	-13453	14	-3828	-1200	-2105	-2227	-3850	0	70	0	0	267	198	0	2737	858	1577	379	233	304	-13	0	1403	8	ND	
France	Données temps réel	2025-08-07	07:45	38168	38650	38100	70	0	474	41704	1414	1776	5130	0	915	-13302	14	-3828	-1200	-2105	-2227	-3660	0	70	0	0	267	208	0	2730	998	1402	376	235	304	-13	0	1402	12	ND	
France	Données temps réel	2025-08-07	08:00	38667	39300	38700	71	0	449	41906	1379	2411	5302	0	917	-13774	13	-4026	-1200	-2078	-2227	-4647	1	70	0	0	267	183	0	2727	1133	1442	377	236	304	-2	10	1361	18	ND	
France	Données temps réel	2025-08-07	08:15	39213	40050	39300	71	0	458	41749	1375	3384	5541	0	916	-14267	13	-4026	-1200	-2105	-2227	-4626	1	70	0	0	268	191	0	2672	1246	1622	378	234	304	-12	0	1355	20	ND	
France	Données temps réel	2025-08-07	08:30	40054	40800	39900	71	0	466	41762	1371	4498	5364	-2	917	-14388	13	-4026	-1200	-2105	-2227	-4585	1	70	0	0	268	200	0	2662	1245	1456	381	233	304	-4	1	1340	30	ND	
France	Données temps réel	2025-08-07	08:45	40490	41400	40500	71	0	482	41687	1276	5557	5082	0	921	-14579	13	-4026	-1200	-2105	-2227	-4527	1	70	0	0	268	215	0	2610	1254	1219	381	236	304	-7	0	1243	33	ND	
France	Données temps réel	2025-08-07	09:00	40962	42000	41100	71	0	430	41830	1158	6678	3905	-45	909	-13975	13	-3736	-1200	-1977	-2213	-5718	1	70	0	0	268	163	0	2645	1243	17	373	232	304	-4	4	1128	31	ND	
France	Données temps réel	2025-08-07	09:15	41597	42500	41500	71	0	467	41757	1052	7947	3902	-545	898	-13950	12	-3736	-1200	-1977	-2213	-5567	1	70	0	0	267	200	0	2539	1345	18	366	228	304	-2	1	999	53	ND	
France	Données temps réel	2025-08-07	09:30	41876	43000	41900	71	0	467	41691	1012	9008	3977	-543	896	-14713	12	-3736	-1200	-1977	-2213	-5305	1	70	0	0	268	200	0	2543	1419	15	364	229	304	-1	10	941	72	ND	
France	Données temps réel	2025-08-07	09:45	42269	43450	42400	70	0	463	41399	985	10192	3938	-957	901	-14713	12	-3736	-1200	-1977	-2213	-5019	0	70	0	0	267	198	0	2516	1406	16	364	232	304	-8	0	921	65	ND	
France	Données temps réel	2025-08-07	10:00	42900	43900	42900	71	0	457	41040	997	11464	3667	-956	902	-14732	12	-4028	-2233	-1977	-2147	-3774	1	70	0	0	268	190	0	2520	1133	14	364	233	304	-10	0	941	57	ND	
France	Données temps réel	2025-08-07	10:15	43122	43900	43050	71	0	460	40218	1027	12399	3465	-1672	893	-13726	12	-4028	-2416	-1977	-2227	-3118	1	70	0	0	265	197	0	2494	953	18	365	224	304	-13	0	978	49	ND	
France	Données temps réel	2025-08-07	10:30	43204	43900	43200	70	0	455	39446	997	13212	3334	-1672	895	-13487	12	-4028	-2590	-1977	-2227	-2496	0	70	0	0	261	195	0	2484	783	67	362	229	304	-46	0	947	50	ND	
France	Données temps réel	2025-08-07	10:45	43479	44000	43450	71	0	454	39185	1060	14164	3281	-1951	899	-13645	12	-4028	-2590	-1977	-2227	-2531	1	70	0	0	261	195	0	2554	669	58	368	228	304	-40	0	1019	41	ND	
France	Données temps réel	2025-08-07	11:00	43758	44100	43700	71	0	454	38739	1200	14888	3256	-1944	903	-13792	12	-3804	-2561	-1977	-2160	-2376	1	70	0	0	259	195	0	2531	676	49	371	228	304	-16	0	1160	40	ND	
France	Données temps réel	2025-08-07	11:15	44209	44550	43900	71	0	451	37467	1252	15568	3195	-1916	893	-12729	12	-3804	-2590	-1977	-2160	-1857	1	70	0	0	258	194	0	2479	698	18	367	222	304	-42	0	1211	40	ND	
France	Données temps réel	2025-08-07	11:30	44096	45000	44100	71	0	454	37013	1250	16071	3199	-1905	902	-12931	12	-3804	-2590	-1977	-2160	-1465	1	70	0	0	259	196	0	2500	681	18	365	233	304	-27	0	1204	45	ND	
France	Données temps réel	2025-08-07	11:45	44664	45550	44950	71	0	457	36836	1185	15029	3204	-1917	897	-12465	12	-3804	-2590	-1977	-2160	-520	1	70	0	0	259	199	0	2521	668	15	365	228	304	-34	0	1151	34	ND	
France	Données temps réel	2025-08-07	12:00	45257	46100	45800	71	0	445	37603	838	12841	3294	-1855	904	-8684	12	-3633	-2590	-2013	-1978	2776	1	70	0	0	260	186	0	2574	703	17	366	233	304	-4	3	807	31	ND	
France	Données temps réel	2025-08-07	12:15	45597	45900	45650	70	0	445	37035	788	12648	3291	-1366	904	-8215	13	-3633	-2590	-2013	-1978	3246	0	70	0	0	257	189	0	2595	680	16	366	234	304	-6	3	754	34	ND	
France	Données temps réel	2025-08-07	12:30	45935	45700	45500	70	0	448	36962	766	12838	3262	-954	912	-8327	13	-3633	-2590	-2013	-1978	3654	0	70	0	0	257	192	0	2571	675	16	363	244	304	-42	0	753	13	ND	
France	Données temps réel	2025-08-07	12:45	46569	46300	46200	69	0	452	36919	794	13174	3262	-956	912	-8015	13	-3633	-2590	-2013	-1978	3492	0	70	0	0	257	196	0	2575	670	17	361	247	304	-41	0	777	17	ND	
France	Données temps réel	2025-08-07	13:00	45829	46900	46900	69	0	440	36936	792	13287	3243	-963	915	-8847	12	-3764	-2590	-2013	-2000	2345	0	70	0	0	257	184	0	2560	668	15	363	247	304	-42	0	767	25	ND	
France	Données temps réel	2025-08-07	13:15	45633	46200	46100	69	0	440	36562	845	13377	3197	-1529	918	-8243	13	-3764	-2590	-2013	-2000	2358	0	70	0	0	257	184	0	2547	632	18	368	246	304	-6	3	828	17	ND	
France	Données temps réel	2025-08-07	13:30	45328	45500	45300	69	0	475	36137	856	13520	3183	-1739	910	-8084	13	-3764	-2590	-2013	-2000	2455	0	70	0	0	256	220	0	2539	630	14	364	242	304	-3	4	837	19	ND	
France	Données temps réel	2025-08-07	13:45	44785	45350	45200	69	0	480	35952	911	13388	3143	-1935	916	-8147	13	-3764	-2590	-2013	-2000	2246	0	70	0	0	261	221	0	2517	610	15	366	246	304	0	8	897	14	ND	
France	Données temps réel	2025-08-07	14:00	45064	45200	45100	69	0	440	35423	885	13406	3131	-1946	914	-7250	13	-3779	-2590	-2013	-2533	3446	0	70	0	0	255	186	0	2518	599	14	366	245	304	-12	4	881	5	ND	
France	Données temps réel	2025-08-07	14:15	45145	44750	45100	69	0	448	35634	878	13364	3170	-1925	921	-7436	13	-3779	-2590	-2013	-2533	3363	0	70	0	0	255	193	0	2533	621	16	371	246	304	0	22	867	11	ND	
France	Données temps réel	2025-08-07	14:30	45139	44300	45100	69	0	453	35761	907	13405	3142	-1929	915	-7607	13	-3779	-2590	-2013	-2533	3227	0	70	0	0	252	202	0	2504	620	17	368	243	304	0	22	880	27	ND	
