Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-08-04	00:00	38348	38500	38800	69	0	437	42315	4551	0	5668	-3	930	-15609	13	-3828	-2316	-3776	-2935	-3114	0	70	0	0	255	183	0	3108	1387	1173	382	244	304	-10	0	4003	548	ND	
France	Données temps réel	2025-08-04	00:15	38057	37850	37800	69	0	456	42414	4469	0	6044	0	933	-16324	13	-3828	-2696	-3767	-2935	-3027	0	70	0	0	255	202	0	2994	1424	1625	387	243	304	-5	2	3978	491	ND	
France	Données temps réel	2025-08-04	00:30	36575	37200	36800	69	0	388	42198	4341	0	5664	0	936	-17014	13	-3828	-3145	-3783	-2935	-3022	0	70	0	0	255	134	0	3003	1326	1336	387	245	304	-7	0	3884	457	ND	
France	Données temps réel	2025-08-04	00:45	35430	36150	36150	70	0	452	41986	4378	0	5050	-1	935	-17434	13	-3828	-3145	-3783	-2935	-3321	0	70	0	0	255	198	0	2948	1039	1063	386	245	304	-5	0	3761	617	ND	
France	Données temps réel	2025-08-04	01:00	34910	35100	35500	70	0	423	42003	4201	0	4992	-4	934	-17705	13	-4028	-2935	-3783	-2922	-4202	0	70	0	0	255	169	0	2948	1059	985	387	243	304	-3	0	3610	590	ND	
France	Données temps réel	2025-08-04	01:15	34929	35300	35150	70	0	465	42297	4075	0	5018	-13	935	-17921	13	-4028	-3073	-3783	-2922	-4206	0	70	0	0	255	211	0	2920	1050	1047	387	245	304	-4	6	3508	568	ND	
France	Données temps réel	2025-08-04	01:30	34455	35500	34800	71	0	369	42000	4016	0	4999	-20	936	-17908	13	-4028	-3099	-3783	-2922	-4158	1	70	0	0	255	115	0	2912	1028	1060	388	244	304	-8	0	3446	570	ND	
France	Données temps réel	2025-08-04	01:45	34242	35000	34700	71	0	411	41914	3980	0	4926	-19	934	-17964	13	-4028	-3030	-3783	-2922	-4276	1	70	0	0	255	157	0	2904	1030	992	387	243	304	-10	0	3403	577	ND	
France	Données temps réel	2025-08-04	02:00	33776	34500	34600	71	0	455	41983	3912	0	4733	-25	935	-18284	14	-4028	-2588	-3783	-3000	-4551	1	70	0	0	256	201	0	2923	952	858	388	244	304	-5	0	3319	593	ND	
France	Données temps réel	2025-08-04	02:15	33891	34000	34050	71	0	458	41926	3779	0	4753	-54	937	-17975	14	-4028	-2564	-3783	-3000	-4647	1	70	0	0	255	204	0	2896	1002	854	388	245	304	-3	1	3245	534	ND	
