Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-08-06	00:00	39656	40800	39900	71	0	683	38298	4590	0	5337	0	911	-10191	16	-208	0	-2217	-2595	-5007	1	70	0	0	262	422	0	3137	1290	910	374	233	304	-44	0	3873	718	ND	
France	Données temps réel	2025-08-06	00:15	39242	39750	39000	71	0	784	38296	4449	0	5159	-1	913	-10426	17	-208	0	-2217	-2595	-5098	1	70	0	0	262	523	0	3063	1155	941	373	236	304	-5	3	3775	675	ND	
France	Données temps réel	2025-08-06	00:30	37786	38700	38100	71	0	397	37856	4326	0	5029	-1	915	-10785	14	-208	0	-2217	-2596	-5542	1	70	0	0	262	136	0	3047	1063	919	372	239	304	-20	0	3695	631	ND	
France	Données temps réel	2025-08-06	00:45	36456	38850	37150	71	0	488	37669	4277	0	4647	0	920	-11613	15	-208	0	-2217	-2596	-5644	1	70	0	0	262	227	0	3012	794	841	374	242	304	-4	3	3624	653	ND	
France	Données temps réel	2025-08-06	01:00	35943	39000	36200	71	0	502	37778	4221	0	4595	-1	929	-12146	15	-2061	0	-2217	-2600	-5448	1	70	0	0	262	241	0	2980	766	849	378	247	304	-6	2	3612	609	ND	
France	Données temps réel	2025-08-06	01:15	35835	38250	35950	71	0	482	38264	4145	0	4689	-1	929	-12756	15	-2061	0	-2217	-2600	-5520	1	70	0	0	262	221	0	2890	790	1008	374	251	304	0	13	3532	614	ND	
France	Données temps réel	2025-08-06	01:30	35230	37500	35700	71	0	479	38432	4038	0	4212	-9	925	-12922	15	-2061	0	-2217	-2600	-5593	1	70	0	0	262	218	0	2871	781	560	372	249	304	-2	7	3431	607	ND	
France	Données temps réel	2025-08-06	01:45	35371	37300	35600	71	0	506	38633	3991	0	4065	-57	927	-12765	15	-2061	0	-2217	-2600	-5602	1	70	0	0	262	245	0	2826	713	526	375	248	304	-4	7	3467	524	ND	
France	Données temps réel	2025-08-06	02:00	34750	37100	35500	71	0	508	38442	3878	0	4028	-65	929	-13039	15	-1745	-100	-2217	-2600	-5508	1	70	0	0	262	248	0	2800	708	520	375	250	304	-7	6	3349	529	ND	
France	Données temps réel	2025-08-06	02:15	34988	36400	35000	71	0	510	38756	3875	0	3673	-386	929	-12433	15	-1745	-100	-2217	-2600	-5528	1	70	0	0	263	248	0	2761	698	214	375	250	304	-8	3	3371	503	ND	
France	Données temps réel	2025-08-06	02:30	34265	35700	34500	71	0	485	38517	3851	0	3678	-381	927	-12871	15	-1745	-100	-2217	-2600	-5586	1	70	0	0	262	224	0	2760	709	210	374	249	304	-11	0	3397	455	ND	
France	Données temps réel	2025-08-06	02:45	33695	35050	34100	71	0	493	38633	3734	0	3459	-548	924	-13037	15	-1745	-100	-2217	-2600	-5597	1	70	0	0	266	228	0	2736	708	15	371	249	304	-34	0	3278	456	ND	
France	Données temps réel	2025-08-06	03:00	33249	34400	33700	71	0	498	38376	3719	0	3438	-790	927	-12948	15	-1964	-100	-2217	-2600	-5424	1	70	0	0	268	231	0	2725	700	14	374	249	304	-42	0	3294	425	ND	
France	Données temps réel	2025-08-06	03:15	33079	33900	33300	71	0	477	38431	3594	0	3461	-990	927	-12856	15	-1964	-100	-2217	-2600	-5471	1	70	0	0	268	210	0	2740	707	15	375	248	304	-36	0	3213	382	ND	
France	Données temps réel	2025-08-06	03:30	32533	33400	32900	71	0	515	38478	3486	0	3460	-1479	927	-12909	16	-1964	-100	-2217	-2600	-5504	1	70	0	0	268	248	0	2742	703	15	372	251	304	-15	0	3118	368	ND	
