Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-08-01	00:00	41985	42500	42400	71	0	836	43663	3127	0	6753	-20	937	-13380	16	-3162	-596	-3636	-2947	-2993	1	70	0	0	262	575	0	3488	1819	1446	386	247	304	-1	0	2655	471	ND	
France	Données temps réel	2025-08-01	00:15	41636	41500	41300	70	0	841	43581	3105	0	6366	-23	939	-13228	16	-3162	-1360	-3732	-2947	-2941	0	70	0	0	247	595	0	3431	1530	1404	388	247	304	-13	0	2661	444	ND	
France	Données temps réel	2025-08-01	00:30	40042	40500	40200	71	0	798	43569	3075	0	6086	-42	935	-14439	16	-3162	-1995	-3742	-2952	-2877	1	70	0	0	248	551	0	3375	1476	1235	385	246	304	-10	0	2631	445	ND	
France	Données temps réel	2025-08-01	00:45	38808	39550	39300	71	0	997	43573	2982	0	5400	-48	936	-15088	17	-3162	-2261	-3742	-2952	-3085	1	70	0	0	248	750	0	3358	1302	740	387	245	304	-16	0	2493	489	ND	
France	Données temps réel	2025-08-01	01:00	38185	38600	38400	70	0	721	43528	2904	0	5256	-50	943	-15173	15	-3876	-1116	-3734	-2751	-3302	0	70	0	0	249	473	0	3349	1279	628	393	246	304	-12	0	2378	527	ND	
France	Données temps réel	2025-08-01	01:15	38235	38650	38600	71	0	755	43505	2934	0	5454	-54	946	-15361	16	-3876	-1297	-3742	-2761	-3363	1	70	0	0	250	507	0	3250	1208	996	397	245	304	-15	0	2377	558	ND	
France	Données temps réel	2025-08-01	01:30	37615	38700	38800	71	0	783	43455	2947	0	5112	-52	934	-15624	16	-3876	-1053	-3742	-2873	-3152	1	70	0	0	250	534	0	3246	1022	844	385	245	304	-10	0	2361	585	ND	
France	Données temps réel	2025-08-01	01:45	37648	38450	38200	70	0	767	43442	2915	0	4883	-63	943	-15294	16	-3876	-1409	-3742	-2910	-3099	0	70	0	0	249	518	0	3202	1016	665	392	246	304	-13	0	2309	606	ND	
France	Données temps réel	2025-08-01	02:00	36989	38200	37600	70	0	646	43451	2912	0	4739	-64	950	-15704	15	-3849	-938	-3736	-2980	-3413	0	70	0	0	250	398	0	3181	1017	541	398	248	304	-10	0	2271	640	ND	
France	Données temps réel	2025-08-01	02:15	37107	37450	37150	71	0	669	43473	2793	0	4574	-63	941	-15345	15	-3849	-1045	-3742	-2988	-3469	1	70	0	0	250	420	0	3103	1035	436	392	245	304	-7	0	2140	654	ND	
