Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-08-03	00:00	38654	39000	39000	725	0	1124	40749	2308	0	5844	0	952	-13042	29	-3900	1928	-3990	-2537	-3684	655	70	0	270	377	477	0	3086	1441	1318	398	250	304	-6	0	1932	377	ND	
France	Données temps réel	2025-08-03	00:15	38331	38100	38000	724	0	1118	40569	2242	0	6020	-2	949	-13287	29	-3900	1672	-3994	-2537	-3818	654	70	0	0	324	795	0	3070	1429	1520	397	248	304	-1	1	1878	364	ND	
France	Données temps réel	2025-08-03	00:30	36729	37200	37000	196	0	1044	40569	2097	0	5901	-2	951	-14028	21	-3900	677	-3994	-2549	-3826	126	70	0	0	265	781	0	3056	1426	1419	400	248	304	-3	5	1766	331	ND	
France	Données temps réel	2025-08-03	00:45	35349	36250	36200	70	0	762	40393	2090	0	5417	-25	954	-14302	17	-3900	414	-3994	-2549	-3855	0	70	0	0	266	497	0	2983	1354	1080	400	251	304	-10	0	1717	373	ND	
France	Données temps réel	2025-08-03	01:00	34765	35300	35400	70	0	808	40308	2056	0	5249	-25	951	-14645	18	-4028	846	-3982	-2443	-4703	0	70	0	0	265	544	0	2993	1246	1010	400	248	304	-6	1	1669	386	ND	
France	Données temps réel	2025-08-03	01:15	34865	35450	35100	70	0	760	40601	2035	0	5370	-38	950	-14875	17	-4028	499	-3994	-2443	-4725	0	70	0	0	265	496	0	2974	1246	1150	399	247	304	-10	0	1668	367	ND	
France	Données temps réel	2025-08-03	01:30	34232	35600	34800	70	0	752	40479	2088	0	5214	-46	952	-15265	17	-4028	442	-3994	-2441	-4589	0	70	0	0	266	487	0	2973	1206	1036	400	248	304	-11	0	1708	380	ND	
France	Données temps réel	2025-08-03	01:45	34261	35150	34650	70	0	751	40300	2188	0	4930	-46	964	-14885	17	-4028	-71	-3994	-2441	-4363	0	70	0	0	266	486	0	2972	1134	823	406	254	304	-11	0	1753	435	ND	
France	Données temps réel	2025-08-03	02:00	33745	34700	34500	70	0	764	40411	2160	0	4946	-48	957	-15508	17	-4028	-168	-3978	-2965	-4286	0	70	0	0	266	499	0	2971	1144	832	401	252	304	-7	2	1735	425	ND	
France	Données temps réel	2025-08-03	02:15	33579	34150	33800	71	0	805	40548	2193	0	4342	-65	959	-15267	18	-4028	-274	-3979	-2965	-4207	1	70	0	0	266	540	0	2790	1150	402	403	252	304	-7	2	1749	444	ND	
France	Données temps réel	2025-08-03	02:30	32714	33600	33100	71	0	742	40179	2183	0	4074	-70	956	-15427	17	-4028	-79	-3979	-2965	-4356	1	70	0	0	266	477	0	2807	1073	194	399	253	304	0	7	1769	414	ND	
