Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-12-02	00:00	61312	61700	61500	71	0	2997	50437	15086	0	8166	-1101	1072	-15380	24	-2802	-2590	-4105	-3200	-2009	1	70	0	0	1414	1585	0	5282	2596	288	375	395	301	-24	0	13662	1424	ND	
France	Données temps réel	2025-12-02	00:15	61488	60800	60700	71	0	3119	50360	15260	0	8421	-1898	1072	-14913	24	-2802	-2590	-4138	-3200	-2389	1	70	0	0	1400	1721	0	5144	2751	526	372	398	301	-5	16	13670	1590	ND	
France	Données temps réel	2025-12-02	00:30	59984	59900	59900	71	0	2996	50251	15219	0	8090	-1902	1074	-15803	24	-2802	-2590	-4138	-3200	-2482	1	70	0	0	1400	1597	0	5085	2548	457	378	396	301	-10	11	13566	1653	ND	
France	Données temps réel	2025-12-02	00:45	58600	58850	58850	71	0	2498	50152	15181	0	7781	-1990	1073	-16148	22	-2802	-2590	-4138	-3200	-2735	1	70	0	0	1403	1097	0	5013	2409	358	375	396	301	-15	11	13509	1672	ND	
France	Données temps réel	2025-12-02	01:00	58205	57800	57800	67	0	2352	50205	15079	0	7376	-2154	1072	-15765	21	-2792	-2590	-4138	-3200	-2439	0	70	0	0	1398	955	0	4974	2210	192	375	396	301	-22	11	13412	1667	ND	
France	Données temps réel	2025-12-02	01:15	58228	58200	58200	67	0	2319	50322	14909	0	7414	-2147	1073	-15743	21	-2792	-2590	-4138	-3200	-2435	0	70	0	0	1401	920	0	4940	2205	269	376	395	301	-3	32	13210	1699	ND	
France	Données temps réel	2025-12-02	01:30	57663	58600	58600	67	0	2137	50129	15065	0	7171	-2145	1074	-15810	20	-2792	-2590	-4138	-3200	-2512	0	70	0	0	1402	737	0	4893	2082	196	377	396	301	-12	2	13325	1739	ND	
France	Données temps réel	2025-12-02	01:45	57482	58200	58200	67	0	2177	50139	14874	0	7105	-2145	1074	-15765	20	-2792	-2440	-4138	-3200	-2692	0	70	0	0	1402	777	0	4820	2091	194	378	395	301	-30	2	13219	1655	ND	
France	Données temps réel	2025-12-02	02:00	57000	57800	57800	67	0	2227	50291	14603	0	7051	-2310	1076	-15976	20	-3405	-2590	-4138	-3200	-2577	0	70	0	0	1402	827	0	4805	2054	192	379	396	301	-25	13	12939	1664	ND	
France	Données temps réel	2025-12-02	02:15	57202	57100	57100	67	0	2471	50526	14513	0	7402	-2823	1075	-15995	22	-3405	-2590	-4138	-3200	-2636	0	70	0	0	1402	1071	0	4792	2311	299	379	395	301	-18	0	12818	1694	ND	
