Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-12-01	00:00	57919	57800	55400	70	0	2259	51882	5921	0	9336	-12	1082	-12615	22	792	-2920	-4207	-3200	-2060	0	70	0	0	1475	786	0	5506	3264	566	383	397	301	-10	7	4395	1527	ND	
France	Données temps réel	2025-12-01	00:15	58619	57200	56000	71	0	2185	51940	5975	0	9386	-25	1076	-11980	22	792	-2799	-4207	-3200	-2644	1	70	0	0	1423	764	0	5470	3186	730	378	397	301	-13	5	4498	1477	ND	
France	Données temps réel	2025-12-01	00:30	57339	56600	56600	70	0	2124	51921	6107	0	8878	-186	1073	-12615	21	792	-2960	-4207	-3200	-3562	0	70	0	0	1422	705	0	5467	2996	416	376	396	301	-34	1	4566	1541	ND	
France	Données temps réel	2025-12-01	00:45	56099	55750	55750	71	0	1956	52020	6290	0	8911	-266	1078	-13954	20	792	-2960	-4207	-3200	-3897	1	70	0	0	1416	542	0	5460	3009	442	381	396	301	-13	6	4744	1546	ND	
France	Données temps réel	2025-12-01	01:00	55928	54900	54900	70	0	1847	51903	6445	0	8561	-436	1074	-13507	20	844	-2960	-4207	-3200	-3896	0	70	0	0	1415	434	0	5399	2770	391	379	394	301	-29	1	4816	1629	ND	
France	Données temps réel	2025-12-01	01:15	56173	54950	54950	71	0	2141	52114	6709	0	8463	-438	1072	-13955	21	844	-2960	-4207	-3200	-3970	1	70	0	0	1417	726	0	5372	2732	359	377	394	301	-8	5	4998	1711	ND	
France	Données temps réel	2025-12-01	01:30	55839	55000	55000	70	0	1974	51898	6855	0	8267	-443	1073	-13827	20	844	-2960	-4207	-3200	-3967	0	70	0	0	1415	561	0	5332	2615	319	378	393	301	-27	0	5153	1702	ND	
France	Données temps réel	2025-12-01	01:45	55555	55000	55000	70	0	1964	51858	7111	0	8054	-439	1076	-14110	20	844	-2960	-4207	-3200	-3967	0	70	0	0	1416	549	0	5232	2507	314	381	393	301	-27	0	5380	1730	ND	
France	Données temps réel	2025-12-01	02:00	55189	55000	55000	70	0	1921	51788	7367	0	7906	-939	1070	-13955	20	804	-2960	-4207	-3200	-3487	0	70	0	0	1417	506	0	5171	2439	296	376	393	301	-38	0	5616	1751	ND	
France	Données temps réel	2025-12-01	02:15	55214	54250	54250	70	0	1841	51961	7567	0	7477	-1600	1077	-13176	20	804	-2960	-4207	-3200	-3521	0	70	0	0	1306	537	0	5071	2107	298	382	394	301	-9	9	5799	1767	ND	
France	Données temps réel	2025-12-01	02:30	54627	53500	53500	70	0	1878	51946	7713	0	7288	-2174	1080	-13170	20	804	-2960	-4207	-3200	-3632	0	70	0	0	1305	574	0	5045	2102	141	385	394	301	-12	8	5955	1758	ND	
