Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-12-05	00:00	60946	61300	61300	71	457	5159	52645	3026	0	9844	0	1050	-11322	45	-2717	2060	-4405	-3200	-2434	1	70	0	0	1375	3786	0	6072	3040	732	370	378	301	-1	17	2650	376	ND	
France	Données temps réel	2025-12-05	00:15	60986	60600	60600	71	542	4854	52790	2923	0	10048	0	1052	-11308	44	-2717	2200	-4405	-3200	-2548	1	70	0	0	1376	3480	0	5988	3129	932	373	378	301	-3	16	2621	301	ND	
France	Données temps réel	2025-12-05	00:30	59639	59900	59900	71	501	4193	52881	2946	0	9556	-2	1055	-11540	40	-2717	2080	-4405	-3200	-2481	1	70	0	0	1375	2820	0	5934	2908	714	376	378	301	-24	1	2650	296	ND	
France	Données temps réel	2025-12-05	00:45	58637	59000	59000	70	461	3994	52851	2874	0	8644	0	1056	-11273	39	-2717	2087	-4405	-3200	-2531	0	70	0	0	1433	2562	0	5811	2464	370	377	377	301	-41	1	2583	291	ND	
France	Données temps réel	2025-12-05	01:00	58293	58100	58100	70	445	3444	53033	2812	0	8623	-2	1057	-11164	36	-2815	2200	-4405	-3200	-2272	0	70	0	0	1434	2012	0	5900	2402	321	378	378	301	-26	1	2511	301	ND	
France	Données temps réel	2025-12-05	01:15	58718	58500	58500	70	458	3615	53154	2755	0	8719	-3	1055	-11085	37	-2815	2200	-4405	-3200	-2356	0	70	0	0	1440	2177	0	5865	2473	381	375	378	301	-20	0	2483	272	ND	
France	Données temps réel	2025-12-05	01:30	58181	58900	58900	71	448	3463	53267	2613	0	8506	-2	1057	-11236	36	-2815	2200	-4405	-3200	-2367	1	70	0	0	1435	2030	0	5887	2363	256	378	378	301	-8	2	2288	325	ND	
France	Données temps réel	2025-12-05	01:45	58157	58650	58650	70	439	3443	53241	2554	0	8504	0	1056	-11123	36	-2815	2200	-4405	-3200	-2413	0	70	0	0	1436	2010	0	5854	2387	263	378	377	301	-26	0	2198	356	ND	
France	Données temps réel	2025-12-05	02:00	57636	58400	58400	70	440	3161	53274	2415	0	8504	0	1056	-11260	34	-3421	2200	-4405	-3200	-2721	0	70	0	0	1436	1727	0	5811	2449	244	376	379	301	-24	0	2144	271	ND	
France	Données temps réel	2025-12-05	02:15	57730	57850	57850	71	500	3214	53304	2458	0	8853	-1	1057	-11718	35	-3421	2200	-4405	-3200	-2862	1	70	0	0	1437	1779	0	5801	2564	488	377	378	301	-16	8	2210	249	ND	
France	Données temps réel	2025-12-05	02:30	56986	57300	57300	71	492	3101	53289	2489	0	8645	0	1056	-12136	34	-3421	2200	-4405	-3200	-2866	1	70	0	0	1441	1662	0	5760	2424	461	375	379	301	-23	1	2227	262	ND	
France	Données temps réel	2025-12-05	02:45	56419	56600	56600	70	400	2972	53310	2507	0	8367	-2	1061	-12226	33	-3421	2200	-4405	-3200	-2867	0	70	0	0	1435	1539	0	5665	2370	333	380	379	301	-40	0	2245	261	ND	
France	Données temps réel	2025-12-05	03:00	55921	55900	55900	69	400	2896	53088	2551	0	8115	0	1057	-12220	32	-3527	2544	-3879	-3200	-2971	0	70	0	0	1440	1458	0	5526	2287	302	375	381	301	-36	0	2270	280	ND	
France	Données temps réel	2025-12-05	03:15	55919	55450	55450	71	390	2804	53067	2499	0	8098	-762	1053	-11296	32	-3527	2544	-3879	-3200	-2982	1	70	0	0	1436	1370	0	5372	2315	411	374	378	301	-7	2	2255	244	ND	
France	Données temps réel	2025-12-05	03:30	55315	55000	55000	69	397	2765	52607	2485	0	7886	-932	1052	-10994	32	-3527	2544	-3879	-3200	-3030	0	70	0	0	1441	1326	0	5213	2259	415	372	379	301	-20	1	2227	258	ND	
France	Données temps réel	2025-12-05	03:45	55140	54850	54850	70	400	2758	52839	2455	0	7778	-1276	1056	-10928	32	-3527	2544	-3879	-3200	-3017	0	70	0	0	1434	1325	0	5202	2179	397	377	378	301	-13	1	2222	233	ND	
France	Données temps réel	2025-12-05	04:00	54962	54700	54700	71	405	2767	53127	2455	0	7841	-1435	1059	-11327	32	-3527	2544	-3879	-3200	-3040	1	70	0	0	1437	1332	0	5233	2210	399	380	378	301	-7	6	2281	175	ND	
France	Données temps réel	2025-12-05	04:15	55380	54700	54700	70	398	2631	53182	2440	0	7730	-1435	1055	-10678	31	-3527	2544	-3879	-3200	-3093	0	70	0	0	1439	1194	0	5212	2156	362	375	378	301	-12	0	2277	163	ND	
France	Données temps réel	2025-12-05	04:30	55005	54700	54700	71	402	2708	53194	2430	0	7799	-1435	1055	-11210	31	-3527	2544	-3879	-3200	-2888	1	70	0	0	1439	1271	0	5265	2168	365	376	378	301	-9	1	2266	163	ND	
France	Données temps réel	2025-12-05	04:45	55082	55300	55300	71	405	2718	53324	2479	0	7849	-1430	1052	-11392	31	-3527	2544	-3879	-3200	-2912	1	70	0	0	1439	1282	0	5313	2186	350	372	378	301	-4	10	2264	215	ND	
France	Données temps réel	2025-12-05	05:00	56070	55900	55900	70	400	2809	53258	2529	0	8294	-1266	1055	-11064	32	-3524	2544	-3879	-3200	-2725	0	70	0	0	1438	1373	0	5478	2403	413	377	378	301	-16	0	2294	235	ND	
France	Données temps réel	2025-12-05	05:15	57250	56700	56700	70	475	3218	53044	2442	0	8510	-1099	1056	-10451	35	-3524	2544	-3879	-3200	-2699	0	70	0	0	1439	1781	0	5480	2545	485	377	378	301	-17	2	2222	220	ND	
France	Données temps réel	2025-12-05	05:30	57748	57500	57500	70	537	3624	52997	2448	0	8560	-772	1054	-10760	38	-3524	2544	-3879	-3200	-2737	0	70	0	0	1439	2187	0	5526	2699	335	375	378	301	-11	1	2232	216	ND	
France	Données temps réel	2025-12-05	05:45	58679	58300	58300	70	570	3956	52786	2414	0	8689	-769	1054	-10078	41	-3524	2544	-3879	-3200	-2786	0	70	0	0	1437	2521	0	5603	2776	311	375	377	301	-13	0	2228	186	ND	
France	Données temps réel	2025-12-05	06:00	59642	59100	59100	71	576	4358	52530	2379	0	9130	-345	1056	-10103	43	-1919	2544	-3879	-3200	-2688	1	70	0	0	1440	2920	0	5620	2849	661	377	377	301	-9	0	2214	165	ND	
France	Données temps réel	2025-12-05	06:15	61919	60600	60600	71	572	4846	52415	2323	0	9985	-1	1053	-9401	45	-1919	2544	-3879	-3200	-2760	1	70	0	0	1439	3408	0	5738	3266	981	374	378	301	0	55	2163	160	ND	
France	Données temps réel	2025-12-05	06:30	63199	62100	62100	70	567	5295	52335	2346	0	11510	0	1055	-9954	46	-1919	2543	-3879	-3200	-2837	0	70	0	0	1439	3857	0	5694	3645	2171	376	378	301	-26	2	2200	146	ND	
France	Données temps réel	2025-12-05	06:45	64654	63500	64250	71	539	5633	52392	2371	0	12277	0	1051	-9671	47	-1919	2410	-3879	-3200	-2957	1	70	0	0	1439	4196	0	5868	3860	2549	371	379	301	-10	1	2187	183	ND	
France	Données temps réel	2025-12-05	07:00	66351	64900	66400	69	536	5958	52349	2352	0	13103	0	1055	-9046	48	2	1800	-4357	-3200	-2261	0	70	0	0	1439	4521	0	6001	3928	3174	376	378	301	-25	2	2128	225	ND	
France	Données temps réel	2025-12-05	07:15	68187	66250	67750	70	488	6090	52513	2478	0	13670	0	1053	-8102	48	2	1800	-4375	-3200	-2224	0	70	0	0	1439	4652	0	6239	3761	3670	374	377	301	-75	2	2193	285	ND	
France	Données temps réel	2025-12-05	07:30	69531	67600	69100	69	504	6202	52547	2587	0	14757	-39	1051	-8079	48	2	1800	-4395	-3200	-2444	0	70	0	0	1416	4788	0	6290	4080	4388	372	378	301	-69	1	2243	344	ND	
France	Données temps réel	2025-12-05	07:45	70167	68350	69800	71	511	6322	52589	2697	0	15295	-38	1055	-8291	48	2	1800	-4395	-3200	-2425	1	70	0	0	1403	4921	0	6388	4187	4720	375	378	301	-47	3	2322	375	ND	
