Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-12-04	00:00	60244	60200	60200	69	365	3408	52873	7149	0	8458	-789	1030	-12261	32	-3528	2020	-4021	-3200	-2492	0	70	0	0	1455	1955	0	5738	2456	264	351	377	301	-57	0	5483	1666	ND	
France	Données temps réel	2025-12-04	00:15	60013	59450	59450	70	396	2765	52781	7164	0	8482	-881	1029	-11785	29	-3528	2131	-4021	-3200	-2522	0	70	0	0	1445	1321	0	5610	2550	323	350	377	301	-10	2	5504	1659	ND	
France	Données temps réel	2025-12-04	00:30	59101	58700	58700	71	370	2131	52667	7245	0	8608	-1523	1030	-11490	25	-3528	1707	-4021	-3200	-2543	1	70	0	0	1418	715	0	5574	2536	498	350	379	301	-10	1	5588	1657	ND	
France	Données temps réel	2025-12-04	00:45	57384	57800	57800	70	374	1666	52446	7419	0	8189	-1529	1029	-12258	23	-3528	1166	-4021	-3200	-2553	0	70	0	0	1415	253	0	5396	2355	438	350	378	301	-23	0	5714	1705	ND	
France	Données temps réel	2025-12-04	01:00	56963	56900	56900	71	361	1664	52356	7556	0	7730	-1527	1029	-12274	23	-3528	2544	-4021	-3200	-2725	1	70	0	0	1420	245	0	5373	2083	274	350	377	301	-14	12	5830	1726	ND	
France	Données temps réel	2025-12-04	01:15	57342	57350	57350	71	361	1678	52260	7697	0	7436	-1525	1027	-11652	23	-3528	2348	-4021	-3200	-2724	1	70	0	0	1420	260	0	5308	1859	269	349	377	301	-13	2	5981	1716	ND	
France	Données temps réel	2025-12-04	01:30	56917	57800	57800	70	362	1649	52193	8050	0	7327	-2258	1032	-11484	23	-3528	1900	-4021	-3200	-2730	0	70	0	0	1418	232	0	5227	1836	264	354	377	301	-24	1	6307	1743	ND	
France	Données temps réel	2025-12-04	01:45	56447	57400	57400	71	360	1670	52421	8109	0	7271	-2247	1034	-12252	23	-3528	1533	-4021	-3200	-2752	1	70	0	0	1428	245	0	5205	1815	251	355	377	301	-7	17	6388	1720	ND	
France	Données temps réel	2025-12-04	02:00	56124	57000	57000	70	371	1660	52359	8240	0	7220	-2248	1034	-12575	23	-3528	2544	-4021	-3200	-2803	0	70	0	0	1430	232	0	5119	1824	278	355	378	301	-20	12	6561	1679	ND	
France	Données temps réel	2025-12-04	02:15	56326	56300	56300	70	374	1689	52005	8441	0	7028	-2284	1029	-12065	23	-3528	2127	-4021	-3200	-2772	0	70	0	0	1423	268	0	5005	1739	284	351	377	301	-2	40	6764	1677	ND	
France	Données temps réel	2025-12-04	02:30	55336	55600	55600	70	362	1665	51322	8713	0	6741	-2656	1032	-11938	23	-3528	1685	-4021	-3200	-2781	0	70	0	0	1419	248	0	4895	1599	246	353	378	301	-14	39	7036	1677	ND	
France	Données temps réel	2025-12-04	02:45	54945	55000	55000	67	367	1643	51262	8959	0	6572	-3019	1035	-11937	23	-3528	1219	-4021	-3200	-2737	0	70	0	0	1421	224	0	4857	1596	119	356	378	301	-9	4	7340	1619	ND	
France	Données temps réel	2025-12-04	03:00	54161	54400	54400	67	364	1658	51002	9112	0	6443	-3022	1033	-12434	23	-3528	1662	-3987	-3200	-2950	0	70	0	0	1422	237	0	4773	1553	118	354	378	301	-63	0	7475	1637	ND	
France	Données temps réel	2025-12-04	03:15	54050	54050	54050	67	362	1696	50868	9469	0	6095	-3245	1034	-12249	24	-3528	1273	-3987	-3200	-2912	0	70	0	0	1421	277	0	4671	1307	117	355	378	301	-51	5	7749	1720	ND	
France	Données temps réel	2025-12-04	03:30	53411	53700	53700	67	362	1674	50591	9741	0	6071	-3247	1034	-12797	23	-3528	1010	-3987	-3200	-2894	0	70	0	0	1422	254	0	4648	1307	117	355	378	301	-86	0	8008	1733	ND	
France	Données temps réel	2025-12-04	03:45	53020	53350	53350	68	363	1653	49924	9993	0	5988	-3479	1033	-12464	24	-3528	942	-3987	-3200	-2872	0	70	0	0	1421	233	0	4572	1298	118	354	378	301	-62	3	8224	1769	ND	
France	Données temps réel	2025-12-04	04:00	52823	53000	53000	68	362	1673	49464	10360	0	6067	-3473	1035	-12674	24	-3528	744	-3987	-3200	-3191	0	70	0	0	1422	252	0	4628	1319	119	355	378	301	-62	2	8591	1769	ND	
